STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
US,Total,"245,502","224,059","157,596",64.2,0.3,70.3,0.3,"137,537",56.0,0.3,61.4,0.3,,,,,
US,18 to 24,"29,320","26,913","14,905",50.8,0.9,55.4,0.9,"11,560",39.4,0.9,43.0,0.9,,,,,
US,25 to 34,"43,794","38,283","24,682",56.4,0.7,64.5,0.8,"20,332",46.4,0.7,53.1,0.8,,,,,
US,35 to 44,"39,905","34,327","23,948",60.0,0.8,69.8,0.8,"20,662",51.8,0.8,60.2,0.8,,,,,
US,45 to 64,"83,799","77,544","57,394",68.5,0.5,74.0,0.5,"51,668",61.7,0.5,66.6,0.5,,,,,
US,65+,"48,684","46,993","36,667",75.3,0.6,78.0,0.6,"33,314",68.4,0.6,70.9,0.6,,,,,
ALABAMA,Total,"3,717","3,651","2,526",68.0,2.5,69.2,2.5,"2,095",56.4,2.7,57.4,2.7,,,,,
ALABAMA,18 to 24,513,497,283,55.2,7.2,57.0,7.3,212,41.4,7.1,42.7,7.3,,,,,
ALABAMA,25 to 34,583,568,393,67.5,6.3,69.2,6.3,310,53.1,6.8,54.5,6.8,,,,,
ALABAMA,35 to 44,566,548,363,64.1,6.6,66.3,6.6,306,54.0,6.8,55.8,6.9,,,,,
ALABAMA,45 to 64,"1,293","1,280",881,68.1,4.2,68.8,4.2,761,58.8,4.5,59.4,4.5,,,,,
ALABAMA,65+,761,758,606,79.5,4.8,79.9,4.8,507,66.5,5.6,66.9,5.6,,,,,
ALASKA,Total,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8,,,,,
ALASKA,18 to 24,65,65,32,B,B,B,B,26,B,B,B,B,,,,,
ALASKA,25 to 34,113,109,71,62.6,5.9,64.8,6.0,58,51.0,6.1,52.7,6.2,,,,,
ALASKA,35 to 44,83,79,58,B,B,B,B,48,B,B,B,B,,,,,
ALASKA,45 to 64,180,174,138,77.0,4.1,79.6,4.0,122,67.9,4.5,70.2,4.5,,,,,
ALASKA,65+,77,75,59,B,B,B,B,54,B,B,B,B,,,,,
ARIZONA,Total,"5,196","4,585","3,145",60.5,2.2,68.6,2.3,"2,769",53.3,2.3,60.4,2.4,,,,,
ARIZONA,18 to 24,735,654,346,47.1,6.1,52.8,6.5,263,35.8,5.9,40.2,6.3,,,,,
ARIZONA,25 to 34,854,729,460,53.9,5.7,63.1,5.9,377,44.1,5.6,51.7,6.1,,,,,
ARIZONA,35 to 44,776,663,423,54.5,5.9,63.7,6.2,349,45.0,5.9,52.6,6.4,,,,,
ARIZONA,45 to 64,"1,736","1,510","1,143",65.9,3.8,75.7,3.7,"1,038",59.8,3.9,68.7,4.0,,,,,
ARIZONA,65+,"1,096","1,028",774,70.6,4.6,75.3,4.5,743,67.8,4.7,72.2,4.6,,,,,
ARKANSAS,Total,"2,216","2,116","1,456",65.7,2.7,68.8,2.6,"1,241",56.0,2.8,58.7,2.8,,,,,
ARKANSAS,18 to 24,187,180,92,49.1,9.6,51.2,9.8,62,33.1,9.0,34.5,9.3,,,,,
ARKANSAS,25 to 34,409,367,224,54.8,6.5,61.1,6.7,173,42.3,6.4,47.1,6.8,,,,,
ARKANSAS,35 to 44,387,362,244,63.1,6.4,67.5,6.5,211,54.5,6.6,58.3,6.8,,,,,
ARKANSAS,45 to 64,716,697,503,70.2,4.5,72.2,4.5,452,63.1,4.7,64.8,4.8,,,,,
ARKANSAS,65+,516,510,392,76.0,4.9,76.9,4.9,343,66.6,5.5,67.3,5.5,,,,,
CALIFORNIA,Total,"29,894","24,890","16,096",53.8,1.0,64.7,1.0,"14,416",48.2,1.0,57.9,1.0,,,,,
CALIFORNIA,18 to 24,"3,760","3,308","1,656",44.0,2.7,50.1,2.9,"1,411",37.5,2.6,42.7,2.8,,,,,
CALIFORNIA,25 to 34,"5,742","4,579","2,795",48.7,2.2,61.0,2.4,"2,379",41.4,2.2,51.9,2.4,,,,,
CALIFORNIA,35 to 44,"5,145","3,797","2,412",46.9,2.3,63.5,2.6,"2,074",40.3,2.3,54.6,2.7,,,,,
CALIFORNIA,45 to 64,"9,835","8,252","5,581",56.8,1.7,67.6,1.7,"5,124",52.1,1.7,62.1,1.8,,,,,
CALIFORNIA,65+,"5,412","4,955","3,651",67.5,2.1,73.7,2.1,"3,429",63.4,2.2,69.2,2.2,,,,,
COLORADO,Total,"4,242","3,895","2,893",68.2,2.4,74.3,2.3,"2,707",63.8,2.5,69.5,2.5,,,,,
COLORADO,18 to 24,410,361,210,51.2,8.2,58.2,8.6,177,43.1,8.1,49.0,8.8,,,,,
COLORADO,25 to 34,922,851,596,64.7,5.2,70.1,5.2,535,58.0,5.4,62.9,5.5,,,,,
COLORADO,35 to 44,774,683,535,69.1,5.5,78.2,5.2,514,66.5,5.6,75.3,5.5,,,,,
COLORADO,45 to 64,"1,342","1,243",914,68.1,4.2,73.6,4.2,867,64.6,4.3,69.7,4.3,,,,,
COLORADO,65+,794,757,638,80.4,4.7,84.3,4.4,614,77.3,4.9,81.1,4.7,,,,,
CONNECTICUT,Total,"2,759","2,483","1,763",63.9,2.6,71.0,2.6,"1,586",57.5,2.7,63.9,2.8,,,,,
CONNECTICUT,18 to 24,263,225,123,46.6,8.9,54.6,9.6,97,37.0,8.6,43.3,9.5,,,,,
CONNECTICUT,25 to 34,505,425,279,55.2,6.4,65.5,6.6,244,48.4,6.4,57.5,6.9,,,,,
CONNECTICUT,35 to 44,397,347,236,59.5,7.1,68.1,7.2,208,52.5,7.2,60.1,7.6,,,,,
CONNECTICUT,45 to 64,"1,034",943,700,67.7,4.2,74.3,4.1,636,61.5,4.4,67.4,4.4,,,,,
CONNECTICUT,65+,560,544,425,75.9,5.2,78.2,5.1,400,71.4,5.5,73.6,5.5,,,,,
DELAWARE,Total,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8,,,,,
DELAWARE,18 to 24,82,69,44,B,B,B,B,29,B,B,B,B,,,,,
DELAWARE,25 to 34,110,91,62,B,B,B,B,48,B,B,B,B,,,,,
DELAWARE,35 to 44,115,102,77,66.4,6.5,75.0,6.3,62,54.0,6.8,61.1,7.1,,,,,
DELAWARE,45 to 64,253,242,177,70.1,4.2,73.2,4.2,162,64.1,4.5,66.8,4.5,,,,,
DELAWARE,65+,169,164,127,75.3,4.9,77.2,4.8,116,68.7,5.3,70.5,5.2,,,,,
DISTRICT OF COLUMBIA,Total,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5,,,,,
DISTRICT OF COLUMBIA,18 to 24,59,55,40,B,B,B,B,34,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,25 to 34,179,164,130,72.9,4.3,79.6,4.1,120,67.1,4.6,73.3,4.5,,,,,
DISTRICT OF COLUMBIA,35 to 44,91,80,70,B,B,B,B,64,B,B,B,B,,,,,
DISTRICT OF COLUMBIA,45 to 64,139,131,110,79.5,4.5,84.2,4.2,99,71.4,5.0,75.7,4.9,,,,,
DISTRICT OF COLUMBIA,65+,86,82,70,B,B,B,B,63,B,B,B,B,,,,,
FLORIDA,Total,"16,202","14,428","9,604",59.3,1.3,66.6,1.3,"8,578",52.9,1.3,59.5,1.3,,,,,
