Name,Party,State,Vote
Abraham,R,LA,Aye
Adams,D,NC,No
Aderholt,R,AL,Aye
Aguilar,D,CA,No
Allen,R,GA,Aye
Amash,R,MI,Aye
Amodei,R,NV,Aye
Arrington,R,TX,Aye
Babin,R,TX,Aye
Bacon,R,NE,Aye
Banks (IN),R,IN,Aye
Barletta,R,PA,Aye
Barr,R,KY,Aye
Barragan,D,CA,No
Barton,R,TX,Aye
Bass,D,CA,No
Beatty,D,OH,No
Bera,D,CA,No
Bergman,R,MI,Aye
Beyer,D,VA,No
Biggs,R,AZ,No
Bilirakis,R,FL,Aye
Bishop (GA),D,GA,No
Bishop (MI),R,MI,Aye
Bishop (UT),R,UT,Aye
Black,R,TN,Aye
Blackburn,R,TN,Aye
Blum,R,IA,Aye
Blumenauer,D,OR,No
Blunt Rochester,D,DE,No
Bonamici,D,OR,No
Bost,R,IL,Aye
"Boyle, Brendan F.",D,PA,No
Brady (PA),D,PA,No
Brady (TX),R,TX,Aye
Brat,R,VA,Aye
Bridenstine,R,OK,Aye
Brooks (AL),R,AL,Aye
Brooks (IN),R,IN,Aye
Brown (MD),D,MD,No
Brownley (CA),D,CA,No
Buchanan,R,FL,Aye
Buck,R,CO,Aye
Bucshon,R,IN,Aye
Budd,R,NC,Aye
Burgess,R,TX,Aye
Bustos,D,IL,No
Butterfield,D,NC,No
Byrne,R,AL,Aye
Calvert,R,CA,Aye
Capuano,D,MA,No
Carbajal,D,CA,No
Cardenas,D,CA,No
Carson (IN),D,IN,No
Carter (GA),R,GA,Aye
Carter (TX),R,TX,Aye
Cartwright,D,PA,No
Castor (FL),D,FL,No
Castro (TX),D,TX,No
Chabot,R,OH,Aye
Chaffetz,R,UT,Aye
Cheney,R,WY,Aye
"Chu, Judy",D,CA,No
Cicilline,D,RI,No
Clark (MA),D,MA,No
Clarke (NY),D,NY,No
Clay,D,MO,No
Cleaver,D,MO,No
Clyburn,D,SC,No
Coffman,R,CO,No
Cohen,D,TN,No
Cole,R,OK,Aye
Collins (GA),R,GA,Aye
Collins (NY),R,NY,Aye
Comer,R,KY,Aye
Comstock,R,VA,No
Conaway,R,TX,Aye
Connolly,D,VA,No
Conyers,D,MI,No
Cook,R,CA,Aye
Cooper,D,TN,No
Correa,D,CA,No
Costa,D,CA,No
Costello (PA),R,PA,No
Courtney,D,CT,No
Cramer,R,ND,Aye
Crawford,R,AR,Aye
Crist,D,FL,No
Crowley,D,NY,No
Cuellar,D,TX,No
Culberson,R,TX,Aye
Cummings,D,MD,No
Curbelo (FL),R,FL,Aye
Davidson,R,OH,Aye
Davis (CA),D,CA,No
"Davis, Danny",D,IL,No
"Davis, Rodney",R,IL,Aye
DeFazio,D,OR,No
DeGette,D,CO,No
Delaney,D,MD,No
DeLauro,D,CT,No
DelBene,D,WA,No
Demings,D,FL,No
Denham,R,CA,Aye
Dent,R,PA,No
DeSantis,R,FL,Aye
DeSaulnier,D,CA,No
DesJarlais,R,TN,Aye
Deutch,D,FL,No
Diaz-Balart,R,FL,Aye
Dingell,D,MI,No
Doggett,D,TX,No
Donovan,R,NY,No
"Doyle, Michael F.",D,PA,No
Duffy,R,WI,Aye
Duncan (SC),R,SC,Aye
Duncan (TN),R,TN,Aye
Dunn,R,FL,Aye
Ellison,D,MN,No
Emmer,R,MN,Aye
Engel,D,NY,No
Eshoo,D,CA,No
Espaillat,D,NY,No
Estes (KS),R,KS,Aye
Esty (CT),D,CT,No
Evans,D,PA,No
Farenthold,R,TX,Aye
Faso,R,NY,Aye
Ferguson,R,GA,Aye
Fitzpatrick,R,PA,No
Fleischmann,R,TN,Aye
Flores,R,TX,Aye
Fortenberry,R,NE,Aye
Foster,D,IL,No
Foxx,R,NC,Aye
Frankel (FL),D,FL,No
Franks (AZ),R,AZ,Aye
Frelinghuysen,R,NJ,Aye
Fudge,D,OH,No
Gabbard,D,HI,No
Gaetz,R,FL,Aye
Gallagher,R,WI,Aye
Gallego,D,AZ,No
Garamendi,D,CA,No
Garrett,R,VA,Aye
Gibbs,R,OH,Aye
Gohmert,R,TX,Aye
Gonzalez (TX),D,TX,No
Goodlatte,R,VA,Aye
Gosar,R,AZ,Aye
Gottheimer,D,NJ,No
Gowdy,R,SC,Aye
