STATE,"Sex, Race and Hispanic-Origin",Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
US,Total,"245,502","224,059","157,596",64.2,0.3,70.3,0.3,"137,537",56.0,0.3,61.4,0.3,,,,,
US,Male,"118,488","107,554","73,761",62.3,0.4,68.6,0.4,"63,801",53.8,0.4,59.3,0.5,,,,,
US,Female,"127,013","116,505","83,835",66.0,0.4,72.0,0.4,"73,735",58.1,0.4,63.3,0.4,,,,,
US,White alone,"192,129","177,865","127,463",66.3,0.3,71.7,0.3,"111,891",58.2,0.3,62.9,0.4,,,,,
US,White non-Hispanic alone,"157,395","154,450","114,151",72.5,0.3,73.9,0.3,"100,849",64.1,0.4,65.3,0.4,,,,,
US,Black alone,"30,608","28,808","19,984",65.3,1.0,69.4,1.0,"17,119",55.9,1.1,59.4,1.1,,,,,
US,Asian alone,"14,881","10,283","5,785",38.9,1.6,56.3,1.9,"5,043",33.9,1.5,49.0,1.9,,,,,
US,Hispanic (of any race),"38,990","26,662","15,267",39.2,1.2,57.3,1.5,"12,682",32.5,1.1,47.6,1.5,,,,,
US,White alone or in combination,"195,716","181,268","129,664",66.3,0.3,71.5,0.3,"113,707",58.1,0.3,62.7,0.3,,,,,
US,Black alone or in combination,"32,211","30,326","20,935",65.0,1.0,69.0,1.0,"17,875",55.5,1.0,58.9,1.1,,,,,
US,Asian alone or in combination,"15,750","11,118","6,369",40.4,1.5,57.3,1.8,"5,542",35.2,1.5,49.9,1.8,,,,,
ALABAMA,Total,"3,717","3,651","2,526",68.0,2.5,69.2,2.5,"2,095",56.4,2.7,57.4,2.7,,,,,
ALABAMA,Male,"1,761","1,718","1,155",65.6,3.7,67.2,3.7,944,53.6,3.9,54.9,3.9,,,,,
ALABAMA,Female,"1,955","1,933","1,371",70.1,3.4,70.9,3.4,"1,151",58.9,3.6,59.6,3.6,,,,,
ALABAMA,White alone,"2,633","2,604","1,772",67.3,3.0,68.0,3.0,"1,465",55.6,3.2,56.2,3.2,,,,,
ALABAMA,White non-Hispanic alone,"2,532","2,526","1,742",68.8,3.0,69.0,3.0,"1,441",56.9,3.2,57.0,3.2,,,,,
ALABAMA,Black alone,962,953,694,72.2,5.7,72.8,5.7,579,60.2,6.2,60.8,6.3,,,,,
ALABAMA,Asian alone,27,10,3,B,B,B,B,3,B,B,B,B,,,,,
ALABAMA,Hispanic (of any race),117,83,32,B,B,B,B,27,B,B,B,B,,,,,
ALABAMA,White alone or in combination,"2,673","2,644","1,801",67.4,3.0,68.1,3.0,"1,489",55.7,3.1,56.3,3.2,,,,,
ALABAMA,Black alone or in combination,985,976,704,71.5,5.7,72.1,5.7,587,59.6,6.2,60.2,6.2,,,,,
ALABAMA,Asian alone or in combination,36,19,6,B,B,B,B,6,B,B,B,B,,,,,
ALASKA,Total,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8,,,,,
ALASKA,Male,267,258,181,67.9,3.7,70.1,3.7,152,57.0,4.0,58.8,4.0,,,,,
ALASKA,Female,251,243,177,70.3,3.8,72.6,3.7,156,62.0,4.0,64.0,4.0,,,,,
ALASKA,White alone,346,340,261,75.5,3.0,76.8,3.0,234,67.7,3.3,68.9,3.3,,,,,
ALASKA,White non-Hispanic alone,334,329,252,75.5,3.1,76.7,3.0,226,67.7,3.3,68.7,3.3,,,,,
ALASKA,Black alone,17,17,10,B,B,B,B,8,B,B,B,B,,,,,
ALASKA,Asian alone,27,19,9,B,B,B,B,8,B,B,B,B,,,,,
ALASKA,Hispanic (of any race),24,23,17,B,B,B,B,17,B,B,B,B,,,,,
ALASKA,White alone or in combination,369,363,279,75.8,2.9,77.0,2.9,250,67.9,3.2,69.0,3.2,,,,,
ALASKA,Black alone or in combination,26,26,14,B,B,B,B,12,B,B,B,B,,,,,
ALASKA,Asian alone or in combination,32,24,13,B,B,B,B,12,B,B,B,B,,,,,
ARIZONA,Total,"5,196","4,585","3,145",60.5,2.2,68.6,2.3,"2,769",53.3,2.3,60.4,2.4,,,,,
ARIZONA,Male,"2,525","2,256","1,485",58.8,3.2,65.8,3.3,"1,273",50.4,3.3,56.5,3.5,,,,,
ARIZONA,Female,"2,671","2,329","1,660",62.2,3.1,71.3,3.1,"1,496",56.0,3.2,64.2,3.3,,,,,
