STATE ABBREVIATION,D,,CANDIDATE NAME,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL VOTES ,GENERAL %,COMBINED PARTIES
AL,1,(I),"Callahan, H. L. ""Sonny""",R,Unopposed,,,,"151,188",91.26,
AL,1,,"Coffee, Dick",LBT,,,,,"14,031",8.47,
AL,1,,Scattered,W,,,,,450,0.27,
AL,1,,Total District Votes,,,,,,"165,669",,
AL,2,(I),"Everett, Terry",R,Unopposed,,,,"151,830",68.2,
AL,2,,"Woods, Charles",D,Unopposed,,,,"64,958",29.18,
AL,2,,"McGahan, Wallace B.",LBT,,,,,"4,111",1.85,
AL,2,,Scattered,W,,,,,"1,737",0.78,
AL,2,,Total District Votes,,,,,,"222,636",,
AL,3,(I),"Riley, Bob",R,Unopposed,,,,"147,317",86.9,
AL,3,,"Sophocleus, John",LBT,,,,,"21,119",12.46,
AL,3,,Scattered,W,,,,,"1,083",0.64,
AL,3,,Total District Votes,,,,,,"169,519",,
AL,4,(I),"Aderholt, Robert",R,Unopposed,,,,"140,009",60.58,
AL,4,,"Folsom, Marsha",D,Unopposed,,,,"86,400",37.38,
AL,4,,"Goodrich, Craig",LBT,,,,,"3,519",1.52,
AL,4,,Scattered,W,,,,,"1,178",0.51,
AL,4,,Total District Votes,,,,,,"231,106",,
AL,5,(I),"Cramer, Bud",D,Unopposed,,,,"186,059",88.8,
AL,5,,"Barksdale, Alan",LBT,,,,,"22,110",10.55,
AL,5,,Scattered,W,,,,,"1,345",0.64,
AL,5,,Total District Votes,,,,,,"209,514",,
AL,6,(I),"Bachus, Spencer",R,Unopposed,,,,"212,751",87.94,
AL,6,,"Reagin, Terry ",LBT,,,,,"28,189",11.65,
AL,6,,Scattered,W,,,,,977,0.4,
AL,6,,Total District Votes,,,,,,"241,917",,
AL,7,(I),"Hilliard, Earl F.",D,"36,249",50.08,,,"148,243",74.63,
AL,7,,"Davis, Artur",D,"30,973",42.79,,,,,
AL,7,,"Sowell, Wayne",D,"5,155",7.12,,,,,
AL,7,,Total Party Votes,D,"72,377",,,,,,
AL,7,,"Martin, Ed",R,"3,018",61.08,,,"46,134",23.22,
AL,7,,"Bethune, Milton",R,"1,923",38.92,,,,,
AL,7,,Total Party Votes,R,"4,941",,,,,,
