State,District,Year,Cluster,Power_House,Power_Senate,Power_Total
AK,0.0,2000,Rural,3.644407838392379,,
AK,0.0,2002,Rural,4.39126138983423,,
AK,0.0,2004,Rural,3.3333777783703784,7.436838005216942,35.68362310106407
AK,0.0,2006,Rural,4.261757122461591,7.436838005216942,36.612002445155284
AK,0.0,2008,Rural,3.1547930771220716,6.389388503573265,30.948633067665774
AK,0.0,2010,Rural,3.9318222029999803,6.953365515826729,34.17896219684625
AK,0.0,2012,Rural,3.450607997129094,6.953365515826729,33.697747990975365
AK,0.0,2014,Rural,3.5747352014899496,7.408257985176076,35.800657437005874
AK,0.0,2016,Rural,3.2446673891459388,6.735809753789314,32.54543981812945
AL,1.0,2000,Rural,6.036132287875221,,
AL,1.0,2002,Rural,5.5963780241427745,,
AL,1.0,2004,Rural,3.9190481415873712,1.2530978929472205,9.370023975907781
AL,1.0,2006,Rural,6.029871985817741,1.2530978929472205,11.48084782013815
AL,1.0,2008,Rural,4.664897115694114,1.0258364606385268,9.127285719471704
AL,1.0,2010,Rural,6.398730491870413,1.1281302087886984,11.30609690010125
AL,1.0,2012,Rural,4.983156929578026,1.1281302087886984,9.890523337808864
AL,1.0,2014,Rural,6.568834820079614,1.7364208632703142,14.12226557530548
AL,1.0,2016,Rural,4.6319241476101585,1.376683253405398,10.62049629992364
AL,2.0,2000,Rural,4.49163657270163,,
AL,2.0,2002,Rural,5.320139387651956,,
AL,2.0,2004,Rural,4.033119981286323,1.2530978929472205,9.484095815606732
AL,2.0,2006,Rural,5.5891213342350445,1.2530978929472205,11.040097168555453
AL,2.0,2008,Rural,3.4795437622218977,1.0258364606385268,7.941932365999489
AL,2.0,2010,Rural,4.565626312617565,1.1281302087886984,9.472992720848403
AL,2.0,2012,Rural,3.521709578697883,1.1281302087886984,8.42907598692872
AL,2.0,2014,Rural,5.9540821187005815,1.7364208632703142,13.507512873926448
AL,2.0,2016,Rural,3.615538136696266,1.376683253405398,9.604110289009746
AL,3.0,2000,Rural,5.899043765005692,,
AL,3.0,2002,Rural,5.518063380475988,,
AL,3.0,2004,Rural,4.068613091169482,1.2530978929472205,9.519588925489892
AL,3.0,2006,Rural,6.04957017803885,1.2530978929472205,11.500546012359258
AL,3.0,2008,Rural,3.786157807057398,1.0258364606385268,8.24854641083499
AL,3.0,2010,Rural,5.046961981235396,1.1281302087886984,9.954328389466234
AL,3.0,2012,Rural,3.6505676632716386,1.1281302087886984,8.557934071502476
AL,3.0,2014,Rural,6.3848806027327285,1.7364208632703142,13.938311357958595
AL,3.0,2016,Rural,3.483058403923317,1.376683253405398,9.471630556236798
AL,4.0,2000,Rural,4.327018770607427,,
AL,4.0,2002,Rural,6.207286112438781,,
AL,4.0,2004,Rural,3.9104659711251193,1.2530978929472205,9.361441805445528
AL,4.0,2006,Rural,5.462331760181787,1.2530978929472205,10.913307594502196
AL,4.0,2008,Rural,3.7998685245490504,1.0258364606385268,8.262257128326642
AL,4.0,2010,Rural,5.892022790344153,1.1281302087886984,10.799389198574989
AL,4.0,2012,Rural,3.7158421212999504,1.1281302087886984,8.623208529530787
AL,4.0,2014,Rural,7.4210401329850395,1.7364208632703142,14.974470888210906
AL,4.0,2016,Rural,4.176341858639181,1.376683253405398,10.164914010952662
AL,5.0,2000,Rural,4.772950733602528,,
AL,5.0,2002,Rural,5.12371202688924,,
AL,5.0,2004,Rural,3.630304328411851,1.2530978929472205,9.08128016273226
AL,5.0,2006,Rural,6.870255229981794,1.2530978929472205,12.321231064302204
AL,5.0,2008,Rural,3.2543396619391958,1.0258364606385268,7.716728265716787
AL,5.0,2010,Rural,4.41520596935847,1.1281302087886984,9.322572377589307
AL,5.0,2012,Rural,3.4329695529930344,1.1281302087886984,8.340335961223872
AL,5.0,2014,Rural,6.452695290822977,1.7364208632703142,14.006126046048843
AL,5.0,2016,Rural,3.2433203816739424,1.376683253405398,9.231892533987423
AL,6.0,2000,Rural,4.133649144127944,,
AL,6.0,2002,Rural,5.04169481612939,,
AL,6.0,2004,Rural,3.730744693948359,1.2530978929472205,9.181720528268768
AL,6.0,2006,Rural,6.013229104028864,1.2530978929472205,11.464204938349273
AL,6.0,2008,Rural,3.481445635485679,1.0258364606385268,7.94383423926327
AL,6.0,2010,Rural,4.7763703406507325,1.1281302087886984,9.68373674888157
AL,6.0,2012,Rural,3.2456783792380444,1.1281302087886984,8.153044787468883
AL,6.0,2014,Rural,5.603841994071135,1.7364208632703142,13.157272749297
AL,6.0,2016,Rural,3.036689279879504,1.376683253405398,9.025261432192986
AL,7.0,2000,Rural,5.03441019367376,,
AL,7.0,2002,Rural,6.0129036913215765,,
AL,7.0,2004,Rural,4.087672397583368,1.2530978929472205,9.538648231903778
AL,7.0,2006,Rural,7.398419697552603,1.2530978929472205,12.84939553187301
AL,7.0,2008,Rural,4.3159071389419985,1.0258364606385268,8.778295742719589
AL,7.0,2010,Rural,5.298743138127636,1.1281302087886984,10.206109546358473
