,1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
0,2.0,P80001571,Alabama,AL,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP,"1,318,255",,62.08%,W
1,3.0,P00003392,Alabama,AL,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"729,547",,34.36%,
2,4.0,P20002671,Alabama,AL,11/8/16,Gary,Johnson,"Johnson, Gary",,IND,"44,467",,2.09%,
3,5.0,,Alabama,AL,11/8/16,,Scattered,"Scattered, ",,W,"21,712",,1.02%,
4,6.0,P20003984,Alabama,AL,11/8/16,Jill,Stein,"Stein, Jill",,IND,"9,391",,0.44%,
5,7.0,,Alabama,AL,11/8/16,,,,Total State Votes:,,,"2,123,372",,
6,8.0,,Alabama,AL,11/8/16,,,,,,,,,
7,9.0,P80001571,Alaska,AK,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP,"163,387",,51.28%,W
8,10.0,P00003392,Alaska,AK,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"116,454",,36.55%,
9,11.0,P20002671,Alaska,AK,11/8/16,Gary,Johnson,"Johnson, Gary",,LIB,"18,725",,5.88%,
10,12.0,,Alaska,AK,11/8/16,,Scattered,Scattered,,W,"9,201",,2.89%,
11,13.0,P20003984,Alaska,AK,11/8/16,Jill,Stein,"Stein, Jill",,GRE,"5,735",,1.80%,
12,14.0,P60021102,Alaska,AK,11/8/16,Darrell L.,Castle,"Castle, Darrell L.",,CON,"3,866",,1.21%,
13,15.0,P60016342,Alaska,AK,11/8/16,Roque,De La Fuente,"De La Fuente, Roque",,NAF,"1,240",,0.39%,
14,16.0,,Alaska,AK,11/8/16,,,,Total State Votes:,,,"318,608",,
15,17.0,,Alaska,AK,11/8/16,,,,,,,,,
16,18.0,P80001571,Arizona,AZ,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP,"1,252,401",,48.67%,W
17,19.0,P00003392,Arizona,AZ,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,161,167",,45.13%,
18,20.0,P20002671,Arizona,AZ,11/8/16,Gary,Johnson,"Johnson, Gary",,LIB,"106,327",,4.13%,
19,21.0,P20003984,Arizona,AZ,11/8/16,Jill,Stein,"Stein, Jill",,GRE,"34,345",,1.33%,
20,22.0,P60022654,Arizona,AZ,11/8/16,Evan,McMullin,"McMullin, Evan",,W,"17,449",,0.68%,
21,23.0,P60021102,Arizona,AZ,11/8/16,Darrell ,Castle,"Castle, Darrell ",,W,"1,058",,0.04%,
22,24.0,P20005260,Arizona,AZ,11/8/16,Tom ,Hoefling,"Hoefling, Tom ",,W,85,,0.00%,
23,25.0,P60016623,Arizona,AZ,11/8/16,Mike,Smith,"Smith, Mike",,W,62,,0.00%,
24,26.0,P60020757,Arizona,AZ,11/8/16,Robert L.,Buchanan,"Buchanan, Robert L.",,W,56,,0.00%,
25,27.0,P20004511,Arizona,AZ,11/8/16,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,52,,0.00%,
26,28.0,P80000268,Arizona,AZ,11/8/16,Willie Felix,Carter,"Carter, Willie Felix",,DEM,42,,0.00%,
27,29.0,P60016342,Arizona,AZ,11/8/16,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,29,,0.00%,
28,30.0,P60023322,Arizona,AZ,11/8/16,Mitchell,In-Albon,"In-Albon, Mitchell",,W,24,,0.00%,
29,31.0,P60018249,Arizona,AZ,11/8/16,Joseph,Maldonado,"Maldonado, Joseph",,W,20,,0.00%,
30,32.0,P60005303,Arizona,AZ,11/8/16,Cherunda,Fox,"Fox, Cherunda",,W,14,,0.00%,
31,33.0,P20002630,Arizona,AZ,11/8/16,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,12,,0.00%,
32,34.0,,Arizona,AZ,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,11,,0.00%,
33,35.0,,Arizona,AZ,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,4,,0.00%,
34,36.0,P60021631,Arizona,AZ,11/8/16,Delano,Steinacker,"Steinacker, Delano",,W,4,,0.00%,
35,37.0,,Arizona,AZ,11/8/16,Michael,Corsetti,"Corsetti, Michael",,W,3,,0.00%,
36,38.0,,Arizona,AZ,11/8/16,,,,Total State Votes:,,,"2,573,165",,
37,39.0,,Arizona,AZ,11/8/16,,,,,,,,,
38,40.0,P80001571,Arkansas,AR,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP,"684,872",,60.57%,W
39,41.0,P00003392,Arkansas,AR,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"380,494",,33.65%,
40,42.0,P20002671,Arkansas,AR,11/8/16,Gary,Johnson,"Johnson, Gary",,LIB,"29,949",,2.65%,
41,43.0,P60022654,Arkansas,AR,11/8/16,Evan ,McMullin,"McMullin, Evan ",,BFA,"13,176",,1.17%,
42,44.0,P20003984,Arkansas,AR,11/8/16,Jill,Stein,"Stein, Jill",,GRE,"9,473",,0.84%,
43,45.0,P60017340,Arkansas,AR,11/8/16,Jim,Hedges,"Hedges, Jim",,IND,"4,709",,0.42%,
44,46.0,P60021102,Arkansas,AR,11/8/16,Darrell L.,Castle,"Castle, Darrell L.",,CON,"4,613",,0.41%,
45,47.0,P60005808,Arkansas,AR,11/8/16,Lynn S.,Kahn,"Kahn, Lynn S.",,IND,"3,390",,0.30%,
46,48.0,,Arkansas,AR,11/8/16,,,,Total State Votes:,,,"1,130,676",,
47,49.0,,Arkansas,AR,11/8/16,,,,,,,,,
48,50.0,P00003392,California,CA,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"8,753,792",,61.73%,W
49,51.0,P80001571,California,CA,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP/AIP,"4,483,814",,31.62%,
50,52.0,P20002671,California,CA,11/8/16,Gary,Johnson,"Johnson, Gary",,LIB,"478,500",,3.37%,
51,53.0,P20003984,California,CA,11/8/16,Jill,Stein,"Stein, Jill",,GRE,"278,658",,1.96%,
52,54.0,P60007168,California,CA,11/8/16,"Bernard ""Bernie""",Sanders,"Sanders, Bernard ""Bernie""",,W,"79,341",,0.56%,
53,55.0,P80005572,California,CA,11/8/16,Gloria Estela,La Riva,"La Riva, Gloria Estela",,PAF,"66,101",,0.47%,
54,56.0,P60022654,California,CA,11/8/16,Evan ,McMullin,"McMullin, Evan ",,W,"39,596",,0.28%,
55,57.0,P60022787,California,CA,11/8/16,Mike,Maturen,"Maturen, Mike",,W,"1,316",,0.01%,
56,58.0,P20004511,California,CA,11/8/16,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,402,,0.00%,
57,59.0,P20004677,California,CA,11/8/16,Jerry,White,"White, Jerry",,W,84,,0.00%,
58,60.0,,California,CA,11/8/16,,,,Total State Votes:,,,"14,181,604",,
59,61.0,,California,CA,11/8/16,,,,,,,,,
60,62.0,P00003392,Colorado,CO,11/8/16,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,338,870",,48.16%,W
61,63.0,P80001571,Colorado,CO,11/8/16,Donald J.,Trump,"Trump, Donald J.",,REP,"1,202,484",,43.25%,
62,64.0,P20002671,Colorado,CO,11/8/16,Gary,Johnson,"Johnson, Gary",,LIB,"144,121",,5.18%,
63,65.0,P20003984,Colorado,CO,11/8/16,Jill,Stein,"Stein, Jill",,GRE,"38,437",,1.38%,
64,66.0,P60022654,Colorado,CO,11/8/16,Evan,McMullin,"McMullin, Evan",,UN,"28,917",,1.04%,
