STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
AZ,S,(I),"Kyl, Jon",R,"255,659",,"1,108,196",,,,,,,,,,,,,,,
AZ,S,,"Hess, Barry J., II",LBT,"1,586",,"70,724",,,,,,,,,,,,,,,
AZ,S,,"Maynard, Ronald E. ""Ron""",W(D),"1,545",,,,,,,,,,,,,,,,,
AZ,S,,"Starky, Stuart",W(D),"3,245",,,,,,,,,,,,,,,,,
AZ,S,,"Hansen, Vance",W(GRN),187,,"108,926",,,,,,,,,,,,,,,
AZ,S,,"Toel, William",I,,,"109,230",,,,,,,,,,,,,,,
CA,S,(I),"Feinstein, Dianne ",D,"3,759,560",,"5,932,522",,,,,,,,,,,,,,,
CA,S,,"Schmier, Michael ",D,"181,104",,,,,,,,,,,,,,,,,
CA,S,,"Brown, John M. ",R,"68,415",,,,,,,,,,,,,,,,,
CA,S,,"Campbell, Tom ",R,"1,697,208",,"3,886,853",,,,,,,,,,,,,,,
CA,S,,"Dao, Linh ",R,"64,559",,,,,,,,,,,,,,,,,
CA,S,,"Gough, James Peter ",R,"58,853",,,,,,,,,,,,,,,,,
CA,S,,"Haynes, Ray ",R,"679,034",,,,,,,,,,,,,,,,,
CA,S,,"Horn, Bill ",R,"453,630",,,,,,,,,,,,,,,,,
CA,S,,"Templin, Diane Beall ",AIP,"38,836",,"134,598",,,,,,,,,,,,,,,
CA,S,,"Benjamin, Medea Susan ",GRN,"99,716",,"326,828",,,,,,,,,,,,,,,
CA,S,,"Tucker, Jan B. ",GRN,"35,124",,,,,,,,,,,,,,,,,
CA,S,,"Lightfoot, Gail Katherine ",LBT,"120,622",,"187,718",,,,,,,,,,,,,,,
CA,S,,"Rees, Brian M. ",NL,"26,382",,"58,537",,,,,,,,,,,,,,,
CA,S,,"Camahort, Jose Luis ""Joe"" ",REF,"46,278",,"96,552",,,,,,,,,,,,,,,
CA,S,,"Sharpe-Geisler, Valli ""Sharp"" ",REF,"19,516",,,,,,,,,,,,,,,,,
CA,S,,"Jones, John Emery",W,,,6,,,,,,,,,,,,,,,
CT,S,(I),"Lieberman, Joe",D,*,,"828,902",,,,,,,,,,,,,,,
CT,S,,"Giordano, Phil",R,*,,"448,077",,,,,,,,,,,,,,,
CT,S,,"Kozak, William Jr.",CNC,,,"25,509",,,,,,,,,,,,,,,
CT,S,,"Moore, Wildey J.",LBT,,,"8,773",,,,,,,,,,,,,,,
DE,S,,"Carper, Thomas R.",D,Unopposed,,"181,566",,,,,,,,,,,,,,,
DE,S,(I),"Roth, William V. Jr.",R,Unopposed,,"142,891",,,,,,,,,,,,,,,
DE,S,,"Dankof, Mark E.",CON,,,"1,044",,,,,,,,,,,,,,,
DE,S,,"Morrison, J. Burke",LBT,,,"1,103",,,,,,,,,,,,,,,
DE,S,,"Mattson, Robert",NL,,,389,,,,,,,,,,,,,,,
DE,S,,Scattered,W,,,24,,,,,,,,,,,,,,,
FL,S,,"Daughtrey, Newall Jerome",D,"105,650",,,,,,,,,,,,,,,,,
FL,S,,"Higginbottom, David B.",D,"95,492",,,,,,,,,,,,,,,,,
FL,S,,"Nelson, Bill",D,"692,147",,"2,989,487",,,,,,,,,,,,,,,
FL,S,,"Bartlett, Hamilton A. S.",R,"153,613",,,,,,,,,,,,,,,,,
FL,S,,"McCollum, Bill",R,"660,592",,"2,705,348",,,,,,,,,,,,,,,
FL,S,,"Logan, Willie",I,,,"80,830",,,,,,,,,,,,,,,
FL,S,,"Martin, Andy",I,,,"15,889",,,,,,,,,,,,,,,
FL,S,,"McCormick, Darrell L.",I,,,"21,664",,,,,,,,,,,,,,,
FL,S,,"Simonetta, Joe",NL,,,"26,087",,,,,,,,,,,,,,,
FL,S,,"Deckard, Joel",REF,,,"17,338",,,,,,,,,,,,,,,
FL,S,,"Faulk, Olen C.",W,,,8,,,,,,,,,,,,,,,
FL,S,,"Grayson, Richard",W,,,36,,,,,,,,,,,,,,,
FL,S,,"Heady, Brian",W,,,6,,,,,,,,,,,,,,,
FL,S,,"Malapanis, Argiris",W,,,9,,,,,,,,,,,,,,,
FL,S,,"""Nikki O.""",W,,,29,,,,,,,,,,,,,,,
GA,S,,"Ballenger, Ben",N,,,"22,975",,,,,,,,,,,,,,,
GA,S,,"Gates, Jeff",N,,,"21,249",,,,,,,,,,,,,,,
GA,S,,"MacGregor, Paul Robert",N,,,"25,942",,,,,,,,,,,,,,,
GA,S,,"Mattingly, Mack F.",N,,,"920,478",,,,,,,,,,,,,,,
GA,S,(I),"Miller, Zell",D,,,"1,413,224",,,,,,,,,,,,,,,
GA,S,,"Walsh, Winnie",N,,,"11,875",,,,,,,,,,,,,,,
GA,S,,"Wood, Bobby Rudolph",N,,,"12,499",,,,,,,,,,,,,,,
GA,S,,"Averitt, M. Luke",W,,,9,,,,,,,,,,,,,,,
GA,S,,"Dixon, Princella Howard",W,,,262,,,,,,,,,,,,,,,
HI,S,(I),"Akaka, Daniel K.",D,"150,507",,"251,215",,,,,,,,,,,,,,,
HI,S,,"Reyes, Art P.",D,"16,312",,,,,,,,,,,,,,,,,
HI,S,,"Carroll, John",R,"33,349",,"84,701",,,,,,,,,,,,,,,
HI,S,,"Deluze, James R.",R,"3,910",,,,,,,,,,,,,,,,,
HI,S,,"Douglass, Eugene F.",R,"6,117",,,,,,,,,,,,,,,,,
HI,S,,"Friel, Harry J.",R,"3,277",,,,,,,,,,,,,,,,,
HI,S,,"Manner, Paul",CON,76,,,,,,,,,,,,,,,,,
HI,S,,"Porter, David",CON,122,,"2,360",,,,,,,,,,,,,,,
HI,S,,"Mallan, Lloyd Jeffrey",LBT,664,,"3,127",,,,,,,,,,,,,,,
HI,S,,"Clegg, Lauri A.",NL,469,,"4,220",,,,,,,,,,,,,,,
IN,S,,"Johnson, David L.",D,"192,531",,"683,273",,,,,,,,,,,,,,,
IN,S,(I),"Lugar, Richard G.",R,"356,888",,"1,427,944",,,,,,,,,,,,,,,
IN,S,,"Hager, Paul",LBT,,,"33,992",,,,,,,,,,,,,,,
MA,S,(I),"Kennedy, Edward M.",D,"236,883",,"1,889,494",,,,,,,,,,,,,,,
MA,S,,Scattered,W(D),"2,467",,,,,,,,,,,,,,,,,
MA,S,,"Robinson, Jack E. III",R,"42,263",,"334,341",,,,,,,,,,,,,,,
MA,S,,Scattered,W(R),"1,492",,,,,,,,,,,,,,,,,
MA,S,,"Howell, Carla A.",LBT,"1,219",,"308,860",,,,,,,,,,,,,,,
MA,S,,Scattered,W(LBT),18,,,,,,,,,,,,,,,,,
MA,S,,"Friedgen, Dale E.",U,,,"13,687",,,,,,,,,,,,,,,
MA,S,,"Hyde, Philip III",TND,,,"8,452",,,,,,,,,,,,,,,
MA,S,,"Lawler, Philip F.",CON,,,"42,113",,,,,,,,,,,,,,,
MA,S,,Scattered,W,,,"2,473",,,,,,,,,,,,,,,
MD,S,,"Altman, Sidney",D,"31,502",,,,,,,,,,,,,,,,,
MD,S,,"English, George",D,"45,984",,,,,,,,,,,,,,,,,
MD,S,(I),"Sarbanes, Paul S.",D,"384,748",,"1,230,013",,,,,,,,,,,,,,,
MD,S,,"Ficker, Robin",R,"46,995",,,,,,,,,,,,,,,,,
