1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,S,S6AL00013,(I),Richard C.,Shelby,"Shelby, Richard C.",,R,"505,586",64.91%,,,"1,335,104",63.96%,,,,,W,
4,AL,Alabama,S,S6AL00310,,Jonathan,McConnell,"McConnell, Jonathan",,R,"214,770",27.58%,,,,,,,,,,
5,AL,Alabama,S,S6AL00328,,John,Martin,"Martin, John",,R,"23,558",3.02%,,,,,,,,,,
6,AL,Alabama,S,S6AL00336,,Marcus,Bowman,"Bowman, Marcus",,R,"19,707",2.53%,,,,,,,,,,
7,AL,Alabama,S,S6AL00385,,Shadrack ,McGill,"McGill, Shadrack ",,R,"15,230",1.96%,,,,,,,,,,
8,AL,Alabama,S,n/a,,,,,Party Votes:,R,"778,851",,,,,,,,,,,
9,AL,Alabama,S,S6AL00302,,Ron,Crumpton,"Crumpton, Ron",,D,"153,897",56.08%,,,"748,709",35.87%,,,,,,
10,AL,Alabama,S,S6AL00369,,Charles,Nana,"Nana, Charles",,D,"120,526",43.92%,,,,,,,,,,
11,AL,Alabama,S,n/a,,,,,Party Votes:,D,"274,423",,,,,,,,,,,
12,AL,Alabama,S,n/a,,,Scattered,Scattered,,W,,,,,"3,631",0.17%,,,,,,
13,AL,Alabama,S,n/a,,,,,Total State Votes:,,"1,053,274",,,,"2,087,444",,,,,,,
14,AL,Alabama,S,n/a,,,,,,,,,,,,,,,,,,
15,,,S,n/a,,,,,,,,,,,,,,,,,,
16,AK,Alaska,S,S4AK00099,(I),Lisa,Murkowski,"Murkowski, Lisa",,R,"39,545",71.52%,,,"138,149",44.36%,,,,,W,
17,AK,Alaska,S,S6AK00144,,Bob ,Lochner,"Lochner, Bob ",,R,"8,480",15.34%,,,,,,,,,,
18,AK,Alaska,S,S6AK00193,,Paul,Kendall,"Kendall, Paul",,R,"4,272",7.73%,,,,,,,,,,
19,AK,Alaska,S,S6AK00136,,Thomas ,Lamb,"Lamb, Thomas ",,R,"2,996",5.42%,,,,,,,,,,
20,AK,Alaska,S,n/a,,,,,Party Votes:,R,"55,293",,,,,,,,,,,
21,AK,Alaska,S,S0AK00121,,Joe,Miller,"Miller, Joe  #",,LIB,,,,,"90,825",29.16%,,,,,,# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.
22,AK,Alaska,S,S6AK00169,,Cean,Stevens,"Stevens, Cean  #",,LIB,"5,102",100.00%,,,,,,,,,,# Cean Stevens withdrew after the primary election and Joe Miller was selected by the party to fill the vacancy on the general election ballot.
23,AK,Alaska,S,n/a,,,,,Party Votes:,LIB,"5,102",,,,,,,,,,,
24,AK,Alaska,S,S8AK00082,,Ray,Metcalfe,"Metcalfe, Ray",,D,"15,228",60.15%,,,"36,200",11.62%,,,,,,
25,AK,Alaska,S,S6AK00177,,Edgar,Blatchford,"Blatchford, Edgar",,D,"10,090",39.85%,,,,,,,,,,
26,AK,Alaska,S,n/a,,,,,Party Votes:,D,"25,318",,,,,,,,,,,
27,AK,Alaska,S,S6AK00151,,Margaret,Stock,"Stock, Margaret",,NAF,,,,,"41,194",13.23%,,,,,,
28,AK,Alaska,S,S6AK00201,,Breck A.,Craig,"Craig, Breck A.",,NAF,,,,,"2,609",0.84%,,,,,,
29,AK,Alaska,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,"1,758",0.56%,,,,,,
30,AK,Alaska,S,n/a,,,Scattered,Scattered,,W,,,,,706,0.23%,,,,,,
31,AK,Alaska,S,n/a,,,,,Total State Votes:,,"85,713",,,,"311,441",,,,,,,
32,,,S,n/a,,,,,,,,,,,,,,,,,,
33,AZ,Arizona,S,S6AZ00019 ,(I),John,McCain,"McCain, John",,R,"302,532",51.16%,,,"1,359,267",53.71%,,,,,W,
34,AZ,Arizona,S,S6AZ00233,,Kelli,Ward,"Ward, Kelli",,R,"235,988",39.91%,,,,,,,,,,
35,AZ,Arizona,S,S6AZ00217 ,,Alex,Meluskey,"Meluskey, Alex",,R,"31,159",5.27%,,,,,,,,,,
36,AZ,Arizona,S,S2AZ00216 ,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,"21,476",3.63%,,,,,,,,,,
37,AZ,Arizona,S,S6AZ00332,,Sean,Webster,"Webster, Sean",,W(R),175,0.03%,,,,,,,,,,
38,AZ,Arizona,S,n/a,,,,,Party Votes:,R,"591,330",,,,,,,,,,,
39,AZ,Arizona,S,S6AZ00225 ,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"333,586",99.85%,,,"1,031,245",40.75%,,,,,,
40,AZ,Arizona,S,S6AZ00290 ,,Axel,Bello,"Bello, Axel",,W(D),508,0.15%,,,,,,,,,,
41,AZ,Arizona,S,n/a,,,,,Party Votes:,D,"334,094",,,,,,,,,,,
42,AZ,Arizona,S,S6AZ00340,,Gary,Swing,"Swing, Gary",,W(GRE)/GRE,238,100.00%,,,"138,634",5.48%,,,,,,
43,AZ,Arizona,S,n/a,,,,,Party Votes:,G,238,,,,,,,,,,,
44,AZ,Arizona,S,S6AZ00357,,Merissa,Hamilton,"Hamilton, Merissa",,W(LIB),"1,286",100.00%,,,,,,,,,,
45,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,"1,286",,,,,,,,,,,
46,AZ,Arizona,S,S6AZ00258 ,,Pat,Quinn,"Quinn, Pat",,W,,,,,694,0.03%,,,,,,
47,AZ,Arizona,S,S6AZ00365,,Sydney,Dudikoff,"Dudikoff, Sydney",,W,,,,,494,0.02%,,,,,,
48,AZ,Arizona,S,S6AZ00373,,Selena,Lopez,"Lopez, Selena",,W,,,,,223,0.01%,,,,,,
49,AZ,Arizona,S,S6AZ00134 ,,Leonard,Clark,"Clark, Leonard",,W,,,,,83,0.00%,,,,,,
50,AZ,Arizona,S,S6AZ00399,,Anthony,Camboni,"Camboni, Anthony",,W,,,,,45,0.00%,,,,,,
51,AZ,Arizona,S,S2AZ00273,,Sheila ,Bilyeu,"Bilyeu, Sheila ",,W,,,,,34,0.00%,,,,,,
52,AZ,Arizona,S,S6AZ00381,,"Gene, II",Scott,"Scott, Gene, II",,W,,,,,7,0.00%,,,,,,
53,AZ,Arizona,S,S0AZ00327,,Santos,Chavez,"Chavez, Santos",,W,,,,,4,0.00%,,,,,,
54,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"926,948",,,,"2,530,730",,,,,,,
55,AZ,Arizona,S,n/a,,,,,,,,,,,,,,,,,,
56,,,S,n/a,,,,,,,,,,,,,,,,,,
