Name,Party,State,Vote
Abraham,R,LA,Yea
Adams,D,NC,Nay
Aderholt,R,AL,Yea
Aguilar,D,CA,Nay
Allen,R,GA,Yea
Amash,R,MI,Yea
Amodei,R,NV,Yea
Arrington,R,TX,Yea
Babin,R,TX,Yea
Bacon,R,NE,Yea
Banks (IN),R,IN,Yea
Barletta,R,PA,Yea
Barr,R,KY,Yea
Barragan,D,CA,Nay
Barton,R,TX,Yea
Bass,D,CA,Nay
Beatty,D,OH,Nay
Bera,D,CA,Nay
Bergman,R,MI,Yea
Beyer,D,VA,Nay
Biggs,R,AZ,Yea
Bilirakis,R,FL,Yea
Bishop (GA),D,GA,Nay
Bishop (MI),R,MI,Yea
Bishop (UT),R,UT,Yea
Black,R,TN,Yea
Blackburn,R,TN,Yea
Blum,R,IA,Yea
Blumenauer,D,OR,Nay
Blunt Rochester,D,DE,Nay
Bonamici,D,OR,Nay
Bost,R,IL,Yea
"Boyle, Brendan F.",D,PA,Nay
Brady (PA),D,PA,Nay
Brady (TX),R,TX,Yea
Brat,R,VA,Yea
Bridenstine,R,OK,Yea
Brooks (AL),R,AL,Not Voting
Brooks (IN),R,IN,Yea
Brown (MD),D,MD,Nay
Brownley (CA),D,CA,Nay
Buchanan,R,FL,Yea
Buck,R,CO,Yea
Bucshon,R,IN,Yea
Budd,R,NC,Yea
Burgess,R,TX,Yea
Bustos,D,IL,Nay
Butterfield,D,NC,Nay
Byrne,R,AL,Yea
Calvert,R,CA,Yea
Capuano,D,MA,Nay
Carbajal,D,CA,Nay
Cardenas,D,CA,Nay
Carson (IN),D,IN,Nay
Carter (GA),R,GA,Yea
Carter (TX),R,TX,Yea
Cartwright,D,PA,Nay
Castor (FL),D,FL,Nay
Castro (TX),D,TX,Nay
Chabot,R,OH,Yea
Cheney,R,WY,Yea
"Chu, Judy",D,CA,Nay
Cicilline,D,RI,Nay
Clark (MA),D,MA,Nay
Clarke (NY),D,NY,Nay
Clay,D,MO,Nay
Cleaver,D,MO,Nay
Clyburn,D,SC,Nay
Coffman,R,CO,Yea
Cohen,D,TN,Nay
Cole,R,OK,Yea
Collins (GA),R,GA,Yea
Collins (NY),R,NY,Yea
Comer,R,KY,Yea
Comstock,R,VA,Yea
Conaway,R,TX,Yea
Connolly,D,VA,Nay
Cook,R,CA,Yea
Cooper,D,TN,Nay
Correa,D,CA,Nay
Costa,D,CA,Nay
Costello (PA),R,PA,Yea
Courtney,D,CT,Nay
Cramer,R,ND,Yea
Crawford,R,AR,Yea
Crist,D,FL,Nay
Crowley,D,NY,Nay
Cuellar,D,TX,Nay
Culberson,R,TX,Yea
Cummings,D,MD,Nay
Curbelo (FL),R,FL,Yea
Curtis,R,UT,Yea
Davidson,R,OH,Yea
Davis (CA),D,CA,Nay
"Davis, Danny",D,IL,Nay
"Davis, Rodney",R,IL,Yea
DeFazio,D,OR,Nay
DeGette,D,CO,Nay
Delaney,D,MD,Nay
DeLauro,D,CT,Nay
DelBene,D,WA,Nay
Demings,D,FL,Nay
Denham,R,CA,Yea
Dent,R,PA,Yea
DeSantis,R,FL,Yea
DeSaulnier,D,CA,Nay
DesJarlais,R,TN,Yea
Deutch,D,FL,Nay
Diaz-Balart,R,FL,Yea
Dingell,D,MI,Nay
Doggett,D,TX,Nay
Donovan,R,NY,Nay
"Doyle, Michael F.",D,PA,Nay
Duffy,R,WI,Yea
Duncan (SC),R,SC,Yea
Duncan (TN),R,TN,Yea
Dunn,R,FL,Yea
Ellison,D,MN,Nay
Emmer,R,MN,Yea
Engel,D,NY,Nay
Eshoo,D,CA,Nay
Espaillat,D,NY,Nay
Estes (KS),R,KS,Yea
Esty (CT),D,CT,Nay
Evans,D,PA,Nay
Farenthold,R,TX,Yea
Faso,R,NY,Nay
Ferguson,R,GA,Yea
Fitzpatrick,R,PA,Yea
Fleischmann,R,TN,Yea
Flores,R,TX,Yea
Fortenberry,R,NE,Yea
Foster,D,IL,Nay
Foxx,R,NC,Yea
Frankel (FL),D,FL,Nay
Frelinghuysen,R,NJ,Nay
Fudge,D,OH,Nay
Gabbard,D,HI,Nay
Gaetz,R,FL,Yea
Gallagher,R,WI,Yea
Gallego,D,AZ,Nay
Garamendi,D,CA,Nay
Garrett,R,VA,Yea
Gianforte,R,MT,Yea
Gibbs,R,OH,Yea
Gohmert,R,TX,Yea
Gomez,D,CA,Nay
Gonzalez (TX),D,TX,Nay
Goodlatte,R,VA,Yea
Gosar,R,AZ,Yea
Gottheimer,D,NJ,Nay
Gowdy,R,SC,Yea
Granger,R,TX,Yea
Graves (GA),R,GA,Yea
Graves (LA),R,LA,Yea
Graves (MO),R,MO,Yea
"Green, Al",D,TX,Nay
"Green, Gene",D,TX,Nay
Griffith,R,VA,Yea
Grijalva,D,AZ,Nay
Grothman,R,WI,Yea
Guthrie,R,KY,Yea
Gutierrez,D,IL,Nay
Hanabusa,D,HI,Nay
Handel,R,GA,Yea
Harper,R,MS,Yea
Harris,R,MD,Yea
Hartzler,R,MO,Yea
Hastings,D,FL,Nay
Heck,D,WA,Nay
Hensarling,R,TX,Yea
Herrera Beutler,R,WA,Yea
"Hice, Jody B.",R,GA,Yea
Higgins (LA),R,LA,Yea
Higgins (NY),D,NY,Nay
Hill,R,AR,Yea
Himes,D,CT,Nay
Holding,R,NC,Yea
Hollingsworth,R,IN,Yea
Hoyer,D,MD,Nay
Hudson,R,NC,Yea
Huffman,D,CA,Nay
Huizenga,R,MI,Yea
Hultgren,R,IL,Yea
Hunter,R,CA,Yea
Hurd,R,TX,Yea
Issa,R,CA,Nay
Jackson Lee,D,TX,Nay
Jayapal,D,WA,Nay
Jeffries,D,NY,Nay
Jenkins (KS),R,KS,Yea
Jenkins (WV),R,WV,Yea
Johnson (GA),D,GA,Nay
Johnson (LA),R,LA,Yea
Johnson (OH),R,OH,Yea
"Johnson, E. B.",D,TX,Nay
"Johnson, Sam",R,TX,Yea
Jones,R,NC,Nay
Jordan,R,OH,Yea
Joyce (OH),R,OH,Yea
Kaptur,D,OH,Nay
Katko,R,NY,Yea
Keating,D,MA,Nay
Kelly (IL),D,IL,Nay
Kelly (MS),R,MS,Yea
Kelly (PA),R,PA,Yea
Kennedy,D,MA,Not Voting
Khanna,D,CA,Nay
Kihuen,D,NV,Nay
Kildee,D,MI,Nay
Kilmer,D,WA,Nay
Kind,D,WI,Nay
King (IA),R,IA,Yea
King (NY),R,NY,Nay
Kinzinger,R,IL,Yea
Knight,R,CA,Yea
Krishnamoorthi,D,IL,Nay
Kuster (NH),D,NH,Nay
Kustoff (TN),R,TN,Yea
Labrador,R,ID,Yea
LaHood,R,IL,Yea
La Malfa,R,CA,Yea
Lamborn,R,CO,Yea
Lance,R,NJ,Nay
Langevin,D,RI,Nay
Larsen (WA),D,WA,Nay
Larson (CT),D,CT,Nay
Latta,R,OH,Yea
Lawrence,D,MI,Nay
