candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
S0CO00286,2020,"ROMANOFF, ANDREW",DEMOCRATIC PARTY,Challenger,S,504095.35,58606.14,451594.24,"{C00467118,C00696724}",3/31/19 0:00,,
S0CO00419,2020,"LEITZEL, DUSTIN JOHN",DEMOCRATIC PARTY,Challenger,S,5603,3696,1904,{C00634345},3/31/19 0:00,C00634345,LEITZEL FOR COLORADO
S0CO00435,2020,"GARCIA, LORENA LORENA FOR",DEMOCRATIC PARTY,Challenger,S,14266.15,9486.88,4789.27,{C00691089},3/31/19 0:00,C00691089,LORENA FOR COLORADO
S0CO00450,2020,"ZORNIO, PATRICIA ANNE",DEMOCRATIC PARTY,Challenger,S,59048.41,22457.08,36591.33,{C00694844},3/31/19 0:00,C00694844,ZORNIO FOR SENATE
S0CO00468,2020,"JOHNSTON, MICHAEL C",DEMOCRATIC PARTY,Challenger,S,1804923.52,170892.19,1634031.33,{C00695411},3/31/19 0:00,C00695411,MIKE JOHNSTON FOR US SENATE
S0CO00484,2020,"SPAULDING, STEPHANY ROSE",DEMOCRATIC PARTY,Challenger,S,0,0,0,{C00700708},,C00700708,COMMITTEE TO ELECT STEPHANY ROSE SPAULDING
S0CO00492,2020,"BRAY, DIANA",DEMOCRATIC PARTY,Challenger,S,72514.38,46506.33,26008.05,{C00700948},6/30/19 0:00,C00700948,DIANA BRAY FOR COLORADO
S0CO00500,2020,"BAER, DAN",DEMOCRATIC PARTY,Challenger,S,0,0,0,{C00703033},,C00703033,DAN FOR COLORADO
S0CO00518,2020,"WALSH, JOHN",DEMOCRATIC PARTY,Challenger,S,0,0,0,{C00702381},,C00702381,JOHN WALSH FOR COLORADO
S0CO00526,2020,"BURNES, ELLEN DR",DEMOCRATIC PARTY,Challenger,S,0,0,0,{C00703108},,C00703108,"BURNES FOR COLORADO, INC"
S0CO00534,2020,"MADDEN, ALICE",DEMOCRATIC PARTY,Challenger,S,0,0,0,{C00706044},,C00706044,ALICE MADDEN FOR SENATE
S4CO00395,2020,"GARDNER, CORY",REPUBLICAN PARTY,Incumbent,S,4639552.09,1502091.88,3414514.13,{C00492454},3/31/19 0:00,C00492454,CORY GARDNER FOR SENATE
