State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %,Comments
Colorado,2012,G,ADAMS,4253001245,291,69,360,353,98.06%,
Colorado,2012,G,ADAMS,4255601241,39,19,58,35,60.34%,
Colorado,2012,G,ADAMS,4255601246,946,374,"1,320",889,67.35%,
Colorado,2012,G,ADAMS,4255601247,389,70,459,372,81.05%,
Colorado,2012,G,ADAMS,4255601248,"1,748",464,"2,212","1,670",75.50%,
Colorado,2012,G,ADAMS,4255601249,18,6,24,18,75.00%,
Colorado,2012,G,ADAMS,4255601250,274,62,336,252,75.00%,
Colorado,2012,G,ADAMS,4255601251,12,2,14,13,92.86%,
Colorado,2012,G,ADAMS,6243101150,"1,255",374,"1,629","1,226",75.26%,
Colorado,2012,G,ADAMS,6243101151,"1,139",344,"1,483","1,113",75.05%,
Colorado,2012,G,ADAMS,6243101159,875,180,"1,055",853,80.85%,
Colorado,2012,G,ADAMS,6243401075,825,124,949,793,83.56%,
Colorado,2012,G,ADAMS,6243401076,"1,019",312,"1,331","1,027",77.16%,
Colorado,2012,G,ADAMS,6243401077,603,185,788,586,74.37%,
Colorado,2012,G,ADAMS,6245601071,517,149,666,503,75.53%,
Colorado,2012,G,ADAMS,6245601072,143,39,182,142,78.02%,
Colorado,2012,G,ADAMS,6245601073,799,175,974,779,79.98%,
Colorado,2012,G,ADAMS,6245601074,903,203,"1,106",892,80.65%,
Colorado,2012,G,ADAMS,6245601160,309,64,373,300,80.43%,
Colorado,2012,G,ADAMS,6253001152,913,235,"1,148",876,76.31%,
Colorado,2012,G,ADAMS,6253001153,551,91,642,513,79.91%,
Colorado,2012,G,ADAMS,6253001154,50,11,61,46,75.41%,
Colorado,2012,G,ADAMS,6253001155,267,35,302,250,82.78%,
Colorado,2012,G,ADAMS,6253001156,221,37,258,219,84.88%,
Colorado,2012,G,ADAMS,6253001157,769,162,931,734,78.84%,
Colorado,2012,G,ADAMS,6253001226,179,59,238,165,69.33%,
Colorado,2012,G,ADAMS,6253001229,"1,844","1,291","3,135","1,387",44.24%,
Colorado,2012,G,ADAMS,6253001230,"1,637",707,"2,344","1,377",58.75%,
Colorado,2012,G,ADAMS,6253001231,"1,190",715,"1,905",933,48.98%,
Colorado,2012,G,ADAMS,6253001232,289,129,418,242,57.89%,
Colorado,2012,G,ADAMS,6253001233,"1,082",345,"1,427",941,65.94%,
Colorado,2012,G,ADAMS,6253001234,891,381,"1,272",791,62.19%,
Colorado,2012,G,ADAMS,6253001235,642,431,"1,073",511,47.62%,
Colorado,2012,G,ADAMS,6253001236,941,411,"1,352",819,60.58%,
Colorado,2012,G,ADAMS,6253001237,922,440,"1,362",756,55.51%,
Colorado,2012,G,ADAMS,6253001238,930,382,"1,312",861,65.63%,
Colorado,2012,G,ADAMS,6253001239,847,336,"1,183",764,64.58%,
Colorado,2012,G,ADAMS,6253001240,821,335,"1,156",732,63.32%,
Colorado,2012,G,ADAMS,6253001242,375,103,478,391,81.80%,
Colorado,2012,G,ADAMS,6253001243,634,114,748,612,81.82%,
Colorado,2012,G,ADAMS,6253101158,693,254,947,688,72.65%,
