State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2016,G,ADAMS,4253001245,379,22,401,339,84.54%
Colorado,2016,G,ADAMS,4255601241,43,10,53,31,58.49%
Colorado,2016,G,ADAMS,4255601246,"1,123",160,"1,283",948,73.89%
Colorado,2016,G,ADAMS,4255601247,938,60,998,840,84.17%
Colorado,2016,G,ADAMS,4255601248,"1,935",174,"2,109","1,703",80.75%
Colorado,2016,G,ADAMS,4255601249,361,36,397,313,78.84%
Colorado,2016,G,ADAMS,6243101150,"1,546",102,"1,648","1,320",80.10%
Colorado,2016,G,ADAMS,6243101151,"1,444",116,"1,560","1,239",79.42%
Colorado,2016,G,ADAMS,6243101159,"1,232",77,"1,309","1,086",82.96%
Colorado,2016,G,ADAMS,6243401075,"1,759",83,"1,842","1,587",86.16%
Colorado,2016,G,ADAMS,6243401076,"1,191",107,"1,298","1,069",82.36%
Colorado,2016,G,ADAMS,6243401077,725,77,802,635,79.18%
Colorado,2016,G,ADAMS,6245601071,821,65,886,726,81.94%
Colorado,2016,G,ADAMS,6245601072,267,10,277,228,82.31%
Colorado,2016,G,ADAMS,6245601073,"1,132",73,"1,205","1,034",85.81%
Colorado,2016,G,ADAMS,6245601074,"1,081",71,"1,152",954,82.81%
Colorado,2016,G,ADAMS,6245601160,353,20,373,314,84.18%
Colorado,2016,G,ADAMS,6253001152,"1,088",106,"1,194",945,79.15%
Colorado,2016,G,ADAMS,6253001153,775,92,867,655,75.55%
Colorado,2016,G,ADAMS,6253001154,55,1,56,44,78.57%
Colorado,2016,G,ADAMS,6253001155,364,34,398,312,78.39%
Colorado,2016,G,ADAMS,6253001156,316,18,334,282,84.43%
Colorado,2016,G,ADAMS,6253001157,896,87,983,777,79.04%
Colorado,2016,G,ADAMS,6253001226,218,9,227,186,81.94%
Colorado,2016,G,ADAMS,6253001229,"1,870",631,"2,501","1,159",46.34%
Colorado,2016,G,ADAMS,6253001230,"1,465",255,"1,720","1,020",59.30%
Colorado,2016,G,ADAMS,6253001231,"1,442",279,"1,721","1,004",58.34%
Colorado,2016,G,ADAMS,6253001232,"1,839",412,"2,251","1,270",56.42%
Colorado,2016,G,ADAMS,6253001233,"1,363",165,"1,528","1,044",68.32%
Colorado,2016,G,ADAMS,6253001234,"1,169",141,"1,310",839,64.05%
Colorado,2016,G,ADAMS,6253001235,796,175,971,535,55.10%
Colorado,2016,G,ADAMS,6253001236,"1,227",175,"1,402",934,66.62%
Colorado,2016,G,ADAMS,6253001237,"1,054",197,"1,251",741,59.23%
Colorado,2016,G,ADAMS,6253001238,"1,186",139,"1,325",915,69.06%
Colorado,2016,G,ADAMS,6253001239,"1,029",130,"1,159",832,71.79%
Colorado,2016,G,ADAMS,6253001240,"1,466",218,"1,684","1,179",70.01%
Colorado,2016,G,ADAMS,6253001242,440,44,484,374,77.27%
Colorado,2016,G,ADAMS,6253001243,848,47,895,748,83.58%
Colorado,2016,G,ADAMS,6253101158,844,93,937,725,77.37%
Colorado,2016,G,ADAMS,6255601161,141,8,149,123,82.55%
Colorado,2016,G,ADAMS,6255601162,909,56,965,844,87.46%
Colorado,2016,G,ADAMS,6255601163,378,17,395,342,86.58%
Colorado,2016,G,ADAMS,6255601164,432,29,461,392,85.03%
Colorado,2016,G,ADAMS,6255601165,"1,091",38,"1,129","1,052",93.18%
Colorado,2016,G,ADAMS,6255601166,478,23,501,419,83.63%
Colorado,2016,G,ADAMS,6255601167,564,31,595,507,85.21%
Colorado,2016,G,ADAMS,6255601168,306,12,318,279,87.74%
Colorado,2016,G,ADAMS,6255601169,500,19,519,432,83.24%
Colorado,2016,G,ADAMS,6255601170,"1,363",186,"1,549","1,057",68.24%
Colorado,2016,G,ADAMS,6255601171,"1,400",107,"1,507","1,151",76.38%
Colorado,2016,G,ADAMS,6255601172,261,52,313,210,67.09%
Colorado,2016,G,ADAMS,6255601173,96,6,102,85,83.33%
Colorado,2016,G,ADAMS,6255601174,427,20,447,374,83.67%
Colorado,2016,G,ADAMS,6255601175,"1,202",138,"1,340","1,042",77.76%
Colorado,2016,G,ADAMS,6255601176,492,46,538,428,79.55%
Colorado,2016,G,ADAMS,6255601177,0,0,0,0,0.00%
Colorado,2016,G,ADAMS,6255601178,1,0,1,0,0.00%
Colorado,2016,G,ADAMS,6255601179,0,0,0,0,0.00%
Colorado,2016,G,ADAMS,6255601180,889,64,953,780,81.85%
Colorado,2016,G,ADAMS,6255601181,"1,310",170,"1,480","1,100",74.32%
Colorado,2016,G,ADAMS,6255601182,639,72,711,542,76.23%
Colorado,2016,G,ADAMS,6255601183,242,26,268,213,79.48%
Colorado,2016,G,ADAMS,6255601184,286,25,311,259,83.28%
Colorado,2016,G,ADAMS,6255601185,538,49,587,480,81.77%
Colorado,2016,G,ADAMS,6255601186,"1,257",107,"1,364","1,041",76.32%
Colorado,2016,G,ADAMS,6255601187,"1,137",157,"1,294",936,72.33%
