County,Lean,Elasticity,Democratic Avg,Republican Avg,Democratic Variance,Republican Variance,Covariance,Correlation,Flippability,Lean 2018,Lean 2014,Trump Effect,Trend,Presidential Turnout %,Midterm Turnout %,Total Voters,Ballots Cast,Yes on 73,No on 73,Abstain on 73,Yes % on 73,No % on 73,Abstain % on 73,Johnston Primary Votes,Johnston Primary %,Primary Ballots Cast,Polis Primary Votes,Polis Primary %,Kennedy Primary Votes,Kennedy Primary %,Primary Turnout %,Area,Voter Density,Primary Voter Density,Flippable
Denver,0.4904957109659087,0.16057699087014576,0.7329482883846206,0.24245257741871187,0.006709779953343209,0.0062472724459697385,-0.006187774851457745,-0.9557298296090304,-0.48495189893649404,0.5290077801209775,0.4294998888870015,0.09950789123397596,0.010721859694838425,0.6774244047346559,0.567825248606431,487762.0,330421.88250218524,186027,114947,11721,0.5949151729320904,0.3676010169654136,0.037483810102496046,34875,0.28812313081409757,121042,45369,0.37482031030551377,32261,0.26652732109515703,0.3698406898800278,153.30565309749636,2155.314405086223,789.5468794162604,0
San Miguel,0.42217583778527445,0.07151762731914746,0.6888762426754286,0.2667004048901538,0.0020703651420637126,0.0009674251660786448,-0.0009401293735057381,-0.6642865483806808,-0.7710802760868667,0.5015919768026558,0.3595369818874576,0.14205499491519819,0.020536505140349413,0.6755986847008529,0.56934247770519,6574.0,4441.385753223407,2196,1754,200,0.5291566265060241,0.42265060240963853,0.04819277108433735,298,0.21045197740112995,1416,438,0.3093220338983051,574,0.4053672316384181,0.3457251862587281,1286.7328147359526,3.451676760209782,1.1004615595278604,0
Pitkin,0.3969315393558087,0.07861361107163162,0.6768200877104119,0.2798885483546031,0.003259027429364847,0.001325324331903216,-0.0006981950124572145,-0.33594768180210055,-0.703217862611261,0.48198004804315797,0.3643165236043148,0.11766352443884315,0.019398909379235163,0.6854700605967248,0.5746631604754797,15535.0,10648.777391370118,5573,3849,552,0.5587527571686385,0.3859033487066373,0.055343894124724284,641,0.2304097771387491,2782,1352,0.48598130841121495,648,0.23292595255212079,0.29127155987866193,970.7061667782999,10.970134687320058,2.8659548019904384,0
Boulder,0.3965950952956643,0.17167816640829558,0.6816050837298944,0.2850099884342302,0.007999242664292194,0.006830154753898865,-0.0070149831930062245,-0.9490452658131546,-0.3636322727613138,0.4868599280585684,0.34649643805611063,0.1403634900024578,0.013580103027559466,0.7279326843540781,0.6449368728249529,248491.0,180884.7206678292,106527,62329,9628,0.5968434145357567,0.34921337486833554,0.05394321059590776,10631,0.1565223792697291,67920,39193,0.5770465253239104,14909,0.21950824499411073,0.4187930201833102,726.3705104748532,249.02541892783987,93.50599868873859,0
Costilla,0.3759575508177561,0.0626656856268172,0.6692593488610143,0.2933017980432583,0.0014656368053145297,0.0008270939282695872,-0.0007516789081628006,-0.6827186498817353,-0.7781090160613822,0.3553100652695098,0.3888707766739521,-0.03356071140444228,-0.011233546100879774,0.683895987693456,0.574544420505635,2847.0,1947.0518769632695,635,833,239,0.37199765670767426,0.4879906268306971,0.14001171646162858,306,0.2712765957446808,1128,362,0.32092198581560283,319,0.2828014184397163,0.6613761292501872,1227.599499909288,1.5860644103448598,0.9188664544775004,0
Summit,0.23627670529698172,0.09163836585382061,0.5906958940525728,0.35441918875559103,0.0036196719780463016,0.0018094474428888008,-0.0013442755027724962,-0.5252676929857111,-0.41134357030797836,0.3403629916646128,0.18705104987562823,0.15331194178898458,0.023112101868791594,0.6083310330729734,0.4900134892124596,27398.0,16667.053644133324,7231,6416,836,0.49927501208313196,0.44300214044051645,0.057722847476351584,642,0.1596220785678767,4022,2537,0.6307807061163601,633,0.1573843858776728,0.32774960184109464,608.3419931368552,27.397506389771507,6.611412733914612,0
Lake,0.19746372367155918,0.07546550386979693,0.5682096301221734,0.3707459064506142,0.002408621224844143,0.001467175842577051,-0.0008177670828969363,-0.43501505455585926,-0.41773884636367886,0.26052932638978205,0.14652354805862108,0.11400577833116096,0.006196106825405338,0.6087218033920224,0.5276408312338787,5367.0,3267.0099188049844,1472,1338,149,0.4974653599188915,0.4521797904697533,0.05035484961135519,252,0.2850678733031674,884,320,0.36199095022624433,221,0.25,0.3879539587925275,376.9209282705159,8.667626745470216,2.345319491958679,0
Saguache,0.19617834025846753,0.06317141814385926,0.5748725257317597,0.37869418547329237,0.0016659668406020511,0.0009090384103596083,-0.0006413009418339,-0.521119811522957,-0.4921304293807138,0.1920083053888661,0.16071730457910752,0.03129100080975858,-0.012459177699623453,0.6742689491536378,0.592139316082978,4473.0,3016.005009564222,1229,1374,121,0.4511747430249633,0.5044052863436124,0.044419970631424374,161,0.19327731092436976,833,314,0.37695078031212487,294,0.35294117647058826,0.3967276188080313,3168.581534756973,0.9518470572654987,0.26289366104757356,0
Gunnison,0.18153692380394804,0.10916038467371153,0.5643295195165033,0.3827925957125556,0.004305040361279822,0.004326045416229524,-0.0014562645650811057,-0.3374474348000759,-0.22089991450070576,0.29939822846689496,0.11168122296096868,0.1877170055059263,0.028086150722962867,0.6888451535799198,0.6100461479842174,13983.0,9632.121782508018,4924,3679,390,0.5475369732013788,0.4090959635271878,0.04336706327143334,430,0.21140609636184857,2034,706,0.3470993117010816,716,0.352015732546706,0.30984150536109784,3239.15763737274,2.9736502081203344,0.6279410352037589,0
Eagle,0.15455375437170674,0.12278443738972367,0.5555153326261122,0.40096157825440576,0.003999612599233648,0.003925167882950387,-0.0033772501327119786,-0.8523640910872263,-0.09993623468432739,0.25757085819118264,0.09949169121640745,0.1580791669747752,0.024401939414987483,0.7125696746412906,0.5789978943590632,36504.0,26011.643403105674,10673,10277,1742,0.4703419707385863,0.45289088665609023,0.07676714260532347,2447,0.42512161223071576,5756,2193,0.3809937456567061,876,0.15218902015288394,0.3380708110195997,1684.4965426819235,15.441790911420911,3.4170447098904386,0
