Candidate,Relative Search Interest,Type,Twitter Followers,Facebook Likes
Joe Salazar: (Colorado),324,Potential,2482,3039
Dan Baer: (Colorado),29,Declared,15353,5490
Diana Bray: (Colorado),0,Declared,195,527
Ellen Burnes: (Colorado),0,Declared,62,128
Lorena Garcia: (Colorado),53,Declared,808,1941
Mike Johnston: (Colorado),369,Declared,14610,14789
Dustin Leitzel: (Colorado),0,Declared,420,415
Alice Madden: (Colorado),10,Declared,1021,766
Andrew Romanoff: (Colorado),76,Declared,4509,7800
Stephany Rose Spaulding: (Colorado),66,Declared,3225,3228
John Walsh: (Colorado),181,Declared,7263,2301
Trish Zornio: (Colorado),19,Declared,72487,2983
Diana DeGette: (Colorado),230,Potential,47436,19153
Kerry Donovan: (Colorado),65,Potential,3011,2757
Stan Garnett: (Colorado),35,Potential,0,0
Jena Griswold: (Colorado),241,Potential,3398,4027
Cary Kennedy: (Colorado),435,Potential,4394,9689
Joe Neguse: (Colorado),294,Potential,11851,2510
Ed Perlmutter: (Colorado),168,Potential,32894,6504
Angela Williams: (Colorado),55,Potential,4714,2656
