Office,Party,County Name,Candidate Name,Votes/Percentage,
United States Congressperson - District 1,Democratic Party,ARAPAHOE,Diana DeGette,"5,012",
United States Congressperson - District 1,Democratic Party,DENVER,Diana DeGette,"80,081",
United States Congressperson - District 1,Democratic Party,JEFFERSON,Diana DeGette,"6,009",
United States Congressperson - District 1,Democratic Party,TOTAL,Diana DeGette,"91,102",
United States Congressperson - District 1,Democratic Party,PERCENTAGE,Diana DeGette,68.24%,WINNER
United States Congressperson - District 1,Democratic Party,ARAPAHOE,Saira Rao,"2,074",
United States Congressperson - District 1,Democratic Party,DENVER,Saira Rao,"38,136",
United States Congressperson - District 1,Democratic Party,JEFFERSON,Saira Rao,"2,188",
United States Congressperson - District 1,Democratic Party,TOTAL,Saira Rao,"42,398",
United States Congressperson - District 1,Democratic Party,PERCENTAGE,Saira Rao,31.76%,
United States Congressperson - District 1,Republican Party,ARAPAHOE,Charles Casper Stockham,"2,993",
United States Congressperson - District 1,Republican Party,DENVER,Charles Casper Stockham,"19,044",
United States Congressperson - District 1,Republican Party,JEFFERSON,Charles Casper Stockham,"7,896",
United States Congressperson - District 1,Republican Party,TOTAL,Charles Casper Stockham,"29,933",
United States Congressperson - District 1,Republican Party,PERCENTAGE,Charles Casper Stockham,100.00%,WINNER
United States Congressperson - District 2,Democratic Party,BOULDER,Joe Neguse,"31,717",
United States Congressperson - District 2,Democratic Party,BROOMFIELD,Joe Neguse,"6,420",
United States Congressperson - District 2,Democratic Party,CLEAR CREEK,Joe Neguse,965,
United States Congressperson - District 2,Democratic Party,EAGLE,Joe Neguse,710,
United States Congressperson - District 2,Democratic Party,GILPIN,Joe Neguse,527,
United States Congressperson - District 2,Democratic Party,GRAND,Joe Neguse,881,
United States Congressperson - District 2,Democratic Party,JEFFERSON,Joe Neguse,"8,018",
United States Congressperson - District 2,Democratic Party,LARIMER,Joe Neguse,"24,928",
United States Congressperson - District 2,Democratic Party,PARK,Joe Neguse,449,
United States Congressperson - District 2,Democratic Party,SUMMIT,Joe Neguse,"2,214",
United States Congressperson - District 2,Democratic Party,TOTAL,Joe Neguse,"76,829",
United States Congressperson - District 2,Democratic Party,PERCENTAGE,Joe Neguse,65.74%,WINNER
United States Congressperson - District 2,Democratic Party,BOULDER,Mark Williams,"17,690",
United States Congressperson - District 2,Democratic Party,BROOMFIELD,Mark Williams,"3,323",
