Type,FirstRound,SecondRound,SweetSixteen,EliteEight,FinalFour,Championship,Total
FiveThirtyEight,260.0,240.0,120.0,240.0,160.0,0.0,1020.0
CoinFlip,180.0,80.0,80.0,0.0,0.0,0.0,340.0
FiveThirtyEight,260.0,260.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,160.0,160.0,160.0,80.0,0.0,0.0,560.0
FiveThirtyEight,270.0,220.0,200.0,240.0,160.0,320.0,1410.0
CoinFlip,190.0,140.0,40.0,80.0,160.0,0.0,610.0
FiveThirtyEight,280.0,220.0,120.0,160.0,160.0,0.0,940.0
CoinFlip,160.0,120.0,80.0,0.0,0.0,0.0,360.0
FiveThirtyEight,260.0,260.0,160.0,160.0,160.0,0.0,1000.0
CoinFlip,150.0,40.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,240.0,240.0,240.0,80.0,0.0,0.0,800.0
CoinFlip,130.0,60.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,270.0,240.0,240.0,160.0,160.0,0.0,1070.0
CoinFlip,180.0,80.0,40.0,80.0,0.0,0.0,380.0
FiveThirtyEight,290.0,220.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,100.0,60.0,80.0,160.0,0.0,0.0,400.0
FiveThirtyEight,300.0,260.0,240.0,80.0,0.0,0.0,880.0
CoinFlip,170.0,100.0,0.0,0.0,0.0,0.0,270.0
FiveThirtyEight,290.0,220.0,160.0,160.0,0.0,0.0,830.0
CoinFlip,140.0,120.0,80.0,0.0,0.0,0.0,340.0
FiveThirtyEight,280.0,260.0,240.0,240.0,160.0,0.0,1180.0
CoinFlip,200.0,160.0,80.0,160.0,160.0,320.0,1080.0
FiveThirtyEight,260.0,220.0,240.0,240.0,0.0,0.0,960.0
CoinFlip,110.0,100.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,260.0,280.0,200.0,80.0,0.0,0.0,820.0
CoinFlip,190.0,80.0,40.0,0.0,0.0,0.0,310.0
FiveThirtyEight,270.0,260.0,200.0,80.0,0.0,0.0,810.0
CoinFlip,160.0,100.0,120.0,80.0,0.0,0.0,460.0
FiveThirtyEight,240.0,240.0,160.0,0.0,0.0,0.0,640.0
